brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,ID,proc
APPLE,2020,Apple,M1 Processor,Missing,8,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,112990,122900,8,4.8,640,70,65,65
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,No,38990,60890,35,4.2,33,4,66,66
ASUS,VivoBook,Intel,Core i5,11th,8,LPDDR4X,512,0,Windows,32,0,Casual,14,1,Yes,Yes,63990,82990,22,4.6,10,1,67,67
ASUS,VivoBook,Intel,Core i3,11th,8,LPDDR4X,512,0,Windows,32,0,Casual,14,1,Yes,Yes,51990,67990,23,4.7,6,2,68,68
Lenovo,ThinkPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,65990,78109,15,4.6,17,4,69,69
Nokia,PureBook,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,47990,90000,46,4.4,1119,242,70,70
acer,Swift,AMD,Ryzen 5,Missing,8,LPDDR4X,512,0,Windows,64,0,ThinNlight,14,1,No,No,53990,89999,40,4.9,7,0,71,71
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,48990,62990,22,4.5,174,30,72,72
acer,Aspire,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,52990,75999,30,4.2,155,20,73,73
APPLE,MacBook,Apple,M1 Processor,Missing,16,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,149990,163900,8,4.8,640,70,74,74
acer,Predator,Intel,Core i7,11th,16,DDR4,512,1024,Windows,64,4,Casual,15.6,1,No,No,92990,130990,29,4.5,214,37,75,75
ASUS,ASUS,AMD,Ryzen 7,Missing,16,DDR4,512,0,Windows,32,4,Gaming,17.3,0,No,No,76990,106990,28,4.8,22,3,76,76
Lenovo,IdeaPad,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,49990,79690,37,0.0,0,0,77,77
ASUS,ASUS,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Gaming,17.3,0,No,No,71990,115990,37,4.4,91,17,78,78
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,37990,57990,34,4.2,286,36,79,79
ASUS,VivoBook,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,47990,62990,23,4.0,35,2,80,80
ASUS,ASUS,Intel,Core i5,11th,8,DDR4,1024,0,Windows,64,4,Gaming,15.6,0,No,No,75990,116990,35,4.5,368,48,81,81
Nokia,PureBook,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,45990,74990,38,4.7,6,1,82,82
Lenovo,IdeaPad,Intel,Core i5,10th,8,DDR4,512,0,Windows,32,0,ThinNlight,15.6,2,No,Yes,48490,64290,24,4.3,126,13,83,83
ASUS,ASUS,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Gaming,17.3,0,No,No,72990,105990,31,4.5,74,10,84,84
ASUS,VivoBook,AMD,Ryzen 5,Missing,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,54990,78990,30,4.6,49,6,85,85
MSI,Katana,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,76990,106990,28,4.6,75,17,86,86
APPLE,MacBook,Apple,M1 Processor,Missing,16,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,104990,112900,7,4.7,45,4,87,87
MSI,GF65,Intel,Hexa Core,Missing,16,DDR4,512,0,Windows,64,6,Casual,15.6,2,No,No,76990,106990,28,4.5,298,49,88,88
acer,Aspire,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,57990,69999,17,4.6,32,1,89,89
ASUS,VivoBook,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,52990,72990,27,0.0,0,0,90,90
DELL,Vostro,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,14.96,1,No,Yes,41990,54510,22,3.6,10,5,91,91
Lenovo,IdeaPad,AMD,Ryzen 5,Missing,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,52990,78290,32,4.2,39,5,92,92
ASUS,TUF,Intel,Core i5,11th,16,DDR4,512,0,Windows,64,6,Gaming,15.6,1,No,Yes,89990,129990,30,4.6,124,17,93,93
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,42990,57990,25,4.5,40,7,94,94
APPLE,2020,Apple,M1 Processor,Missing,8,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,125990,142900,11,4.6,399,45,95,95
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,No,45990,58990,22,4.5,816,147,96,96
MSI,GF63,Intel,Core i5,10th,8,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,59990,83990,28,4.5,1597,228,97,97
MSI,Katana,Intel,i7,Missing,,,0,0,Missing,32,4,Casual,0,0,No,No,86990,117990,26,4.5,218,27,98,98
ASUS,Zenbook,Intel,Core i7,11th,16,LPDDR4X,1024,0,Windows,64,2,Casual,14,1,Yes,Yes,104990,146990,28,0.0,0,0,99,99
APPLE,2020,Apple,M1 Processor,Missing,8,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,103990,117900,11,4.7,809,91,100,100
acer,Predator,Intel,Core i7,11th,16,DDR4,512,1024,Windows,32,6,Casual,15.6,1,No,No,119990,140990,14,4.5,342,54,101,101
APPLE,2020,Apple,M1 Processor,Missing,8,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,112990,122900,8,4.8,640,70,102,102
APPLE,2020,Apple,M1 Processor,Missing,8,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,101990,117900,13,4.7,809,91,103,103
ASUS,Pentium,Intel,Pentium Quad,Missing,4,LPDDR4,0,1024,Windows,64,0,Casual,15.6,0,No,No,27990,33990,17,0.0,0,0,104,104
HP,Celeron,Intel,Celeron Dual,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,32490,39288,17,4.0,58,6,105,105
DELL,Inspiron,AMD,Ryzen 3,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,14.96,0,No,No,36990,50586,26,4.2,137,15,106,106
DELL,Inspiron,Intel,Core i5,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,57990,74833,22,4.2,47,0,107,107
