ID,star_rating,ratings,reviews
150,4.3,2551,297
151,4.6,7,0
153,4.3,758,64
154,4.4,634,64
155,4.2,632,92
156,4.0,69,6
157,4.6,194,42
158,4.5,6,0
159,4.3,9,0
160,4.2,14,1
161,3.8,8,3
163,4.5,17,3
164,4.5,35,3
165,4.5,1049,134
166,4.4,93,9
167,3.9,157,20
170,5.0,4,0
171,4.6,74,18
172,4.4,196,19
173,4.4,262,31
174,4.4,474,65
175,4.4,77,10
176,4.3,17,2
177,4.4,11,3
178,4.5,445,56
179,4.5,144,16
182,4.6,17,1
183,4.4,172,36
184,4.0,5,1
187,4.2,170,26
188,4.1,62,7
189,4.2,38,2
190,4.7,10,1
191,4.2,24,5
193,4.2,7291,895
194,4.1,45,3
195,4.3,52,4
196,4.2,153,21
199,4.4,649,84
201,4.4,33,4
202,4.4,118,17
203,3.9,8,1
204,4.3,8,2
205,5.0,3,1
207,4.5,245,34
208,3.9,250,21
210,4.7,9,2
211,4.0,1917,189
212,3.6,1894,256
215,4.4,2058,305
216,4.1,117,11
217,4.1,77,9
218,4.8,42,8
221,4.4,1681,227
224,4.3,37,2
225,4.3,1753,165
226,4.2,216,21
227,4.7,74,11
228,4.3,343,47
230,4.3,131,17
231,4.2,61,2
232,4.4,17,1
233,4.5,861,116
234,4.3,57,14
235,4.4,10,1
236,4.5,1810,235
237,4.1,724,92
238,4.6,28,4
239,4.6,26,1
240,4.4,324,34
241,4.2,502,93
242,4.2,18,4
244,4.2,41,4
245,3.8,253,28
247,4.3,328,51
248,4.1,39,4
249,4.4,1084,160
250,4.1,4999,490
251,4.4,202,26
252,3.9,818,113
253,4.8,6,1
254,4.3,204,35
255,4.3,1625,152
258,4.5,86,15
259,4.0,4,1
260,4.2,25,4
261,4.3,21,5
263,4.8,4,1
264,4.0,5,2
265,3.9,29,7
266,4.7,16,4
268,4.7,17,1
270,4.1,974,170
271,4.5,187,26
272,4.4,104,18
274,4.2,43,4
278,4.7,3,0
279,4.6,1067,145
280,4.3,32,6
281,3.8,17,0
284,3.8,19,3
287,4.7,31,3
288,3.8,4623,553
291,3.8,353,28
293,4.2,17,0
295,4.4,106,13
298,4.0,48,12
299,4.4,282,36
301,4.3,127,20
303,3.6,470,46
305,4.1,42,4
307,4.5,13,2
308,4.2,90,13
309,4.2,67,4
311,3.7,4741,658
313,3.8,2736,350
314,4.1,383,65
315,4.2,17,4
318,4.4,984,99
319,4.2,241,19
320,3.7,4203,490
326,3.9,13,0
327,4.4,47,7
329,4.6,23,2
333,4.4,677,87
334,3.3,3,0
335,4.2,38,5
336,4.8,91,5
337,4.4,15,0
338,4.4,46,4
340,4.6,206,27
341,3.0,4,1
342,3.9,637,91
343,4.7,11,2
344,4.2,9,1
346,3.8,15,1
347,4.4,26,4
349,5.0,5,0
350,3.9,22,2
351,4.3,523,66
353,4.4,40,3
354,3.9,44,6
355,3.7,63,12
356,4.4,183,42
357,4.2,1029,107
359,4.2,39,3
360,4.3,6,0
361,4.4,358,64
362,4.7,28,6
363,4.0,527,46
367,4.3,1541,123
368,4.5,118,15
369,4.2,72,7
370,4.6,44,8
373,4.3,20,3
374,4.4,30,1
380,4.5,53,11
381,4.0,8,1
386,4.4,59,11
388,3.7,103,10
389,4.3,88,13
390,4.1,337,27
391,4.7,25,4
392,4.6,10,2
394,4.2,10,2
395,3.8,31,7
396,3.9,324,45
397,4.0,276,24
403,4.7,76,14
406,4.1,44,6
407,4.2,13,5
410,4.3,267,42
413,4.0,3,2
414,4.7,3,1
416,4.7,57,3
417,4.4,898,128
418,4.3,138,16
420,4.1,118,28
421,3.0,4,2
422,4.1,199,17
423,4.1,46,6
424,4.4,364,52
425,3.8,4,0
427,4.3,6,1
433,4.0,69,5
434,4.1,35,4
435,4.5,844,118
437,4.4,32,5
438,4.0,1444,179
439,4.2,108,13
444,4.3,138,30
446,4.4,530,69
447,4.7,9,0
449,4.8,17,2
450,4.5,814,112
451,5.0,1,1
453,4.5,14,2
455,3.8,5,0
459,4.3,1605,215
460,4.4,39,3
461,4.1,409,39
462,3.9,48,1
463,4.2,75,9
468,4.6,11,3
470,4.7,14,1
472,4.4,56,8
476,4.4,125,11
478,3.7,3,0
480,4.6,34,6
481,4.0,7,0
482,4.4,313,39
484,4.4,826,118
485,4.5,15,7
486,3.9,16,0
488,4.2,465,89
492,4.4,7,0
493,4.5,35,4
495,1.7,3,0
498,4.5,4,0
499,4.4,18,0
501,4.4,714,147
503,4.3,97,13
504,5.0,3,0
508,4.6,273,40
509,4.0,85,14
510,3.8,9,0
518,4.4,181,19
519,4.2,14,3
521,4.0,21,3
523,3.8,9,1
524,4.4,1410,203
525,4.4,4008,519
526,4.8,8,1
530,4.2,30,4
532,3.8,139,26
534,4.4,529,39
536,4.5,4,2
537,4.2,44,4
541,3.5,31,3
542,3.9,40,3
544,4.5,54,7
545,3.8,4,1
548,4.4,1869,234
549,3.5,30,9
550,4.2,77,7
551,4.4,47,6
552,4.4,105,10
553,4.1,44,5
555,4.4,14,2
558,3.8,6,1
559,4.3,102,16
560,4.4,77,15
561,4.3,739,71
563,4.5,31,5
565,4.5,49,8
568,4.4,145,19
573,3.8,19,2
574,4.8,4,0
575,4.7,6,0
576,4.6,68,20
580,3.7,3,1
583,3.4,12,1
584,4.3,545,74
587,4.2,32,6
588,3.9,7,0
591,4.4,16,2
592,4.2,10,1
593,4.5,8,1
594,4.1,1480,151
596,4.4,5205,561
597,4.1,1114,137
598,4.3,1124,100
600,4.9,35,6
601,4.2,44,12
602,4.6,2038,313
604,4.8,9,0
605,4.5,6,1
607,4.3,179,34
608,4.7,98,6
609,4.3,741,67
612,3.8,78,17
614,4.0,21,5
615,4.1,31,2
616,4.0,14,3
617,4.2,61,13
618,4.4,19,3
622,4.1,700,144
626,4.5,11,0
627,4.4,45,3
632,3.8,1146,175
635,4.0,1850,216
636,4.3,7,0
640,3.8,41,5
644,4.2,1090,96
645,3.3,3,1
646,4.0,762,104
648,4.3,7,1
650,5.0,5,2
651,4.4,33,5
652,4.1,73,21
658,4.3,474,37
662,4.2,6,0
665,4.1,191,27
668,3.9,24,4
670,4.5,195,17
673,4.2,165,34
679,5.0,2,1
681,3.7,43,7
687,3.7,1657,234
692,4.5,21,2
700,4.8,5,0
703,4.1,231,26
707,3.8,65,5
709,4.3,114,9
715,4.3,268,25
717,4.0,85,9
719,4.1,1096,116
720,3.9,170,11
724,4.3,10,1
726,3.7,15,3
729,4.1,313,35
730,4.4,138,23
731,4.2,76,13
733,4.3,30,7
734,3.8,1218,209
737,4.3,1278,135
740,4.0,44,2
746,4.4,16,3
747,4.1,120,21
749,4.9,11,4
750,3.7,1153,159
751,4.4,698,74
756,4.7,7,0
761,4.4,349,69
764,4.5,70,9
766,4.4,22,3
772,4.6,16,2
773,3.4,10,2
775,5.0,6,1
776,3.9,219,18
777,3.6,16,1
781,4.5,134,22
784,4.3,519,48
786,3.7,265,46
787,3.9,1185,141
788,4.1,117,31
791,3.6,197,25
794,2.7,3,0
795,4.5,21,3
796,4.2,47,7
797,4.3,23,4
798,3.6,232,23
799,3.9,14,6
800,3.7,84,16
803,3.6,1180,148
804,4.2,153,16
806,3.8,596,65
807,4.5,38,3
808,3.6,1120,196
810,3.9,207,49
812,3.4,7,2
813,3.6,7,2
814,3.5,6,3
817,4.1,19,1
818,4.0,353,58
824,4.0,5,0
829,4.3,143,15
835,3.4,17,3
836,3.9,17,2
837,3.0,2,1
838,4.2,3062,325
841,3.8,8,1
843,3.5,23,6
845,4.4,71,8
847,2.8,4,2
848,4.1,122,12
849,3.0,4,0
850,4.3,40,4
852,4.4,512,85
855,2.3,3,0
858,3.5,25,6
859,4.0,377,53
862,4.6,1365,137
863,3.5,33,7
867,4.5,1639,230
868,3.4,414,54
869,3.5,8,3
870,3.8,25,4
871,2.0,12,0
872,2.8,4,0
873,4.2,18,6
879,2.8,70,16
881,3.2,17,1
882,3.3,61,4
883,3.3,19,1
884,3.3,38,6
885,3.4,11,1
886,3.2,30,6
887,4.2,311,27
888,3.1,18,4
889,3.4,8,0
891,2.9,95,5
892,3.2,83,15
893,4.3,129,16
894,3.4,31,6
895,3.1,8,1
